Country,Arrival by Region,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARMENIA,South Asia,1.0,1.0,2.0,1.0,5.0,9.0,18.0,19.0,24.0,28.0,30.0,32.0,41.0,46.0,59.0,125.0,159.0,148.2,151.0,150.4,148.2,193.1,227.5,192.1,199.7,27.8,110.8,134.7
ARUBA,Americas,565.0,582.0,588.0,595.0,629.0,670.0,643.0,595.0,585.0,665.0,666.0,630.0,703.0,749.0,735.0,746.0,785.0,820.0,898.0,987.6,1133.0,1001.7,970.2,983.0,1020.4,337.5,741.4,1004.6
ARUBA,Europe,52.0,55.0,57.0,49.0,49.0,47.0,45.0,44.0,55.0,60.0,63.0,62.0,67.0,74.0,75.0,76.0,81.0,80.0,77.0,80.2,80.6,86.7,90.6,89.7,93.3,28.2,53.7,88.1
ARUBA,Other not classified,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,4.1,11.2,13.4,9.5,9.0,5.0,2.6,11.4,8.1
AUSTRALIA,Africa,43.0,53.0,58.0,72.0,72.0,79.0,73.0,68.0,70.0,68.0,71.0,78.0,85.0,93.0,81.7,86.6,89.1,82.4,81.1,84.3,84.7,87.0,89.6,95.1,94.9,18.2,1.8,54.8
AUSTRALIA,Americas,382.0,401.0,420.0,474.0,528.0,621.0,577.0,556.0,537.0,561.0,584.0,611.0,629.0,644.0,671.0,661.0,645.0,682.8,750.8,806.0,869.5,994.1,1095.8,1139.1,1173.3,282.5,21.9,504.1
AUSTRALIA,East Asia and the Pacific,2491.0,2843.0,2893.0,2584.0,2683.0,2912.0,2893.0,2924.0,2812.0,3205.0,3375.0,3315.0,3387.0,3244.0,3120.2,3404.0,3447.2,3649.5,3892.6,4204.1,4585.1,5155.7,5487.0,5751.9,5898.1,954.0,153.5,1827.6
AUSTRALIA,Europe,762.0,811.0,888.0,965.0,1088.0,1212.0,1197.0,1198.0,1228.0,1261.0,1330.0,1368.0,1355.0,1381.0,1401.4,1389.8,1335.5,1345.9,1457.0,1488.9,1520.5,1596.2,1644.0,1689.8,1678.8,442.1,44.7,848.9
AUSTRALIA,Middle East,17.0,20.0,19.0,27.0,34.0,35.0,35.0,31.0,34.0,43.0,49.0,52.0,63.0,75.0,64.6,70.3,62.3,63.0,71.0,77.7,80.9,84.8,88.2,85.2,83.2,17.0,4.9,44.4
AUSTRALIA,South Asia,28.0,33.0,40.0,44.0,50.0,60.0,66.0,61.0,63.0,75.0,89.0,108.0,125.0,148.0,151.2,178.2,192.0,208.6,229.2,261.0,308.6,351.1,410.8,484.7,537.6,113.9,19.5,414.6
AUSTRALIA,Other not classified,3.0,4.0,1.0,2.0,4.0,13.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA,Africa,22.0,22.0,23.0,33.0,33.0,36.0,36.0,26.0,27.0,32.0,42.0,43.0,40.0,40.0,39.0,45.0,52.0,58.0,61.0,63.0,72.4,77.8,77.3,82.2,80.4,20.6,16.6,57.0
AUSTRIA,Americas,673.0,707.0,719.0,828.0,767.0,934.0,788.0,647.0,599.0,674.0,692.0,780.0,756.0,673.0,617.0,708.0,743.0,806.0,860.0,919.0,1020.1,1012.8,1084.9,1157.9,1209.2,171.0,172.9,834.7
AUSTRIA,East Asia and the Pacific,477.0,515.0,530.0,500.0,535.0,624.0,576.0,594.0,619.0,755.0,792.0,797.0,747.0,706.0,645.0,741.0,915.0,1105.0,1227.4,1380.5,1739.7,1733.0,2047.0,2188.3,2313.5,234.2,44.3,357.2
AUSTRIA,Europe,15722.0,15570.0,15063.0,15680.0,15843.0,16084.0,16474.0,16984.0,17387.0,17467.0,18031.0,18265.0,18795.0,19993.0,19613.0,20043.0,20819.0,21599.0,22043.0,22242.0,23051.0,24427.0,25361.8,26488.9,27356.3,14458.1,12228.8,24280.9
AUSTRIA,Middle East,22.0,20.0,26.0,25.0,25.0,29.0,33.0,28.0,38.0,43.0,68.0,75.0,91.0,102.0,97.0,120.0,160.0,218.0,268.4,302.5,419.2,382.2,384.1,392.5,384.4,30.8,109.5,340.2
AUSTRIA,South Asia,24.0,28.0,24.0,21.0,31.0,35.0,32.0,39.0,30.0,40.0,39.0,50.0,46.0,47.0,48.0,60.0,84.0,89.0,88.0,84.4,118.3,147.4,177.7,192.9,192.8,10.6,7.3,63.9
AUSTRIA,Other not classified,233.0,228.0,262.0,265.0,233.0,240.0,241.0,293.0,378.0,363.0,288.0,259.0,297.0,374.0,296.0,287.0,239.0,276.0,265.0,300.0,306.9,340.5,327.5,313.1,347.1,165.5,149.0,280.6
AZERBAIJAN,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.4,2.7,2.5,2.3,4.2,7.1,8.9,10.5,1.8,2.3,6.8
AZERBAIJAN,Americas,0.0,0.0,5.0,3.0,2.0,0.0,0.0,6.0,8.0,12.0,11.0,10.0,11.0,17.0,15.0,16.0,16.0,18.8,20.8,19.9,18.4,18.5,22.3,26.7,29.3,4.3,6.3,18.3
AZERBAIJAN,East Asia and the Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,7.0,7.0,8.0,16.0,14.0,15.0,15.0,15.8,19.6,20.1,19.5,22.6,30.1,43.0,59.2,5.9,6.0,16.9
AZERBAIJAN,Europe,0.0,0.0,183.0,331.0,443.0,359.0,272.0,582.0,747.0,1051.0,945.0,1008.0,1104.0,1541.0,1454.0,1568.0,1787.0,2147.6,2306.4,2108.5,1795.3,1799.4,1971.9,2104.8,2376.0,647.8,602.5,1066.5
AZERBAIJAN,Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,5.6,5.4,9.3,137.6,260.7,331.1,314.3,40.9,38.0,204.4
AZERBAIJAN,South Asia,0.0,0.0,106.0,140.0,122.0,242.0,322.0,241.0,253.0,275.0,211.0,165.0,205.0,317.0,340.0,356.0,414.0,292.5,151.7,139.5,159.8,258.5,397.3,326.5,374.4,94.5,134.5,288.8
AZERBAIJAN,Other not classified,0.0,0.0,12.0,7.0,35.0,79.0,173.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.9,1.8,1.6,8.1,7.3,8.5,6.6,0.5,2.3,0.8
BAHAMAS,Africa,0.0,0.0,0.0,0.0,0.0,1.6,0.5,1.2,1.7,1.7,1.7,2.0,2.2,2.0,2.0,1.9,2.0,2.4,2.3,2.6,3.0,2.7,3.0,2.9,3.4,1.0,2.0,3.0
BAHAMAS,Americas,1433.0,1445.0,1413.0,1333.0,1381.0,1406.5,1417.6,1406.2,1389.3,1454.0,1516.9,1508.6,1428.2,1351.47,1234.45,1275.63,1252.46,1325.4,1269.2,1328.2,1372.0,1370.6,1313.6,1486.2,1664.5,409.6,868.7,1383.1
BAHAMAS,East Asia and the Pacific,20.0,26.0,0.0,0.0,0.0,15.5,11.4,8.1,7.8,8.4,8.8,8.49,8.1,8.3,7.45,8.6,8.1,9.5,9.2,10.3,12.2,12.0,13.9,14.7,13.9,2.2,2.2,5.75
BAHAMAS,Europe,115.0,128.0,130.0,118.0,125.0,105.4,94.9,80.1,102.8,94.47,96.3,92.5,97.6,105.6,90.2,90.2,90.2,91.2,94.2,99.9,105.4,110.4,116.0,123.5,119.6,24.2,18.6,56.5
BAHAMAS,Middle East,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.3,0.5,0.8,0.6,0.7,0.8,0.8,0.7,0.6,0.9,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.2,0.2,0.4,0.75
BAHAMAS,South Asia,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.4,0.6,0.6,0.6,0.7,0.8,1.0,0.8,0.9,0.7,0.9,0.8,0.8,1.1,1.0,1.8,2.2,2.3,0.3,0.4,1.48
BAHAMAS,Other not classified,30.0,34.0,74.0,77.0,70.0,13.9,12.6,16.6,2.4,0.7,0.4,0.3,0.3,0.3,0.3,0.4,0.7,0.6,0.6,0.9,1.4,0.9,2.6,1.9,2.1,3.0,0.1,1.9
BAHRAIN,Africa,10.0,12.0,18.0,22.0,26.0,32.0,39.0,47.0,60.0,76.0,82.0,99.0,109.0,0.0,0.0,0.0,100.0,114.0,124.0,132.5,0.0,0.0,0.0,14.4,7.7,1.6,4.9,5.2
BAHRAIN,Americas,79.0,77.0,86.0,97.0,102.0,121.0,139.0,177.0,192.0,200.0,190.0,234.0,267.0,0.0,0.0,0.0,291.0,326.0,335.0,345.3,62.0,55.0,48.8,50.9,61.0,33.4,15.1,30.1
BAHRAIN,East Asia and the Pacific,75.0,84.0,83.0,97.0,101.0,107.0,135.0,187.0,212.0,268.0,287.0,374.0,390.0,0.0,0.0,0.0,339.0,367.0,335.0,378.4,143.0,112.0,74.9,13.7,6.4,8.4,3.3,3.6
BAHRAIN,Europe,156.0,148.0,173.0,179.0,191.0,216.0,235.0,256.0,260.0,334.0,358.0,430.0,507.0,0.0,0.0,0.0,513.0,541.0,552.0,579.8,146.0,162.0,203.9,179.7,185.9,65.8,25.6,48.3
BAHRAIN,Middle East,1782.0,1474.0,2018.0,2242.0,2561.0,3060.0,3447.0,3642.0,3559.0,4141.0,4676.0,5210.0,5451.0,0.0,0.0,0.0,4276.0,5333.0,6423.0,7494.7,9312.0,9823.0,11031.7,11721.8,10770.2,1799.7,3543.0,9843.7
BAHRAIN,South Asia,209.0,193.0,222.0,261.0,299.0,332.0,392.0,522.0,561.0,648.0,720.0,942.0,1109.0,0.0,0.0,0.0,1213.0,1381.0,1394.0,1521.3,0.0,0.0,0.0,64.1,29.8,0.0,20.2,17.6
BAHRAIN,Other not classified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,14.7,0.0,0.0,0.0,0.0,0.2
BANGLADESH,Africa,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANGLADESH,Americas,13.0,14.0,15.0,16.0,12.0,15.0,19.0,18.0,31.0,37.0,19.0,25.0,46.0,0.0,0.0,7.1,6.8,6.7,5.0,6.0,4.1,5.2,6.8,8.6,8.8,25.5,52.1,0.0
BANGLADESH,East Asia and the Pacific,26.0,30.0,34.0,36.0,35.0,38.0,38.0,41.0,43.0,51.0,36.0,37.0,57.0,0.0,0.0,12.0,13.1,14.0,12.0,15.5,9.0,11.9,15.4,16.6,17.3,9.1,5.7,0.0
BANGLADESH,Europe,49.0,51.0,48.0,37.0,40.0,46.0,50.0,47.0,64.0,77.0,49.0,57.0,77.0,0.0,0.0,5.3,5.3,4.5,3.5,4.2,2.5,3.5,4.6,5.0,3.7,37.0,41.9,0.0
BANGLADESH,Middle East,3.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.8,2.3,1.9,1.5,1.5,0.0,0.0,0.0
BANGLADESH,South Asia,64.0,66.0,82.0,77.0,79.0,94.0,94.0,97.0,102.0,100.0,99.0,75.0,102.0,0.0,0.0,94.7,111.0,114.0,70.9,93.1,101.2,146.8,191.6,216.7,273.0,83.1,10.4,0.0
