Country,Arrival by mode of transport,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BANGLADESH,Land,25.0,30.0,34.0,33.0,39.0,48.0,49.0,56.0,58.0,53.0,68.0,49.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARBADOS,Air,434.0,438.0,461.0,499.0,507.0,538.0,498.0,492.0,526.0,546.0,544.0,557.0,575.0,568.0,519.0,532.0,568.0,536.0,509.0,521.0,592.0,632.0,664.0,680.3,522.6,207.4,144.8,539.7
BARBADOS,Water,493.0,519.0,529.0,520.0,440.0,540.0,537.0,529.0,564.0,727.0,567.0,544.0,616.0,597.0,635.0,665.0,619.0,517.0,570.0,558.0,587.0,595.0,681.0,675.8,443.1,338.4,97.4,357.9
BELARUS,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,162.0,194.0,200.0,231.0,256.0,253.0,268.0,294.0,324.0,818.1,992.1,1084.9,1198.9,438.4,414.2,416.4
BELARUS,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5046.0,5015.0,4987.0,4525.0,5302.0,5426.0,5657.0,5685.0,4798.0,3855.0,9460.3,9452.199999999999,10015.6,10228.300000000001,3024.7000000000003,2827.5,4298.2
BELIZE,Air,94.0,94.0,98.0,109.0,115.0,132.0,134.0,130.0,152.0,163.0,175.0,179.0,183.0,178.0,168.0,172.0,182.0,212.0,223.5,239.0,255.9,298.2,322.2,369.5,384.4,110.4,201.6,0.0
BELIZE,Water,10.0,12.0,14.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,715.0,789.0,747.0,651.0,688.0,979.0,967.6,1014.0,1024.0,1217.5,1182.0,349.4,212.9,0.0
BELIZE,Land,225.0,244.0,192.0,56.0,56.0,55.0,53.0,62.0,60.0,60.0,54.0,60.0,59.0,57.0,57.0,92.0,177.0,165.0,111.0,71.0,75.6,78.4,95.2,110.4,107.7,27.4,22.7,0.0
BENIN,Air,0.0,0.0,0.0,0.0,36.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,71.0,81.0,88.0,73.0,95.0,107.4,97.5,99.7,105.6,112.4,114.7,115.0,121.1,0.0,0.0
BENIN,Water,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,8.0,25.0,23.0,19.0,20.2,19.3,21.4,22.4,23.2,18.7,19.9,22.4,0.0,0.0
BENIN,Land,0.0,0.0,0.0,0.0,44.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,90.0,101.0,86.0,113.0,106.0,103.3,125.6,133.5,139.3,145.2,161.4,174.5,181.4,0.0,0.0
BERMUDA,Air,387.0,390.0,380.0,370.0,355.0,332.0,278.0,284.0,257.0,272.0,270.0,299.0,306.0,264.0,236.0,232.0,236.0,232.0,236.0,224.0,220.0,244.0,269.6,282.0,269.0,42.1,72.2,145.9
BERMUDA,Water,170.0,182.0,182.0,188.0,194.0,207.0,180.0,200.0,226.0,206.0,247.0,336.0,354.0,286.0,318.0,348.0,416.0,378.0,340.0,356.0,377.0,398.0,418.0,484.0,536.0,9.3,14.2,402.7
BHUTAN,Air,4.8,5.2,5.4,6.2,7.2,7.6,6.4,4.1,5.1,6.6,11.7,14.0,16.0,23.0,19.0,35.0,57.0,59.5,60.8,65.9,86.0,103.5,126.9,142.4,142.9,11.2,0.001,10.9
BHUTAN,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.1,2.6,1.9,3.3,5.0,5.0,4.0,6.0,9.0,45.9,55.5,67.5,69.0,106.0,127.8,131.7,172.7,18.6,0.0,10.0
"BOLIVIA, PLURINATIONAL STATE OF",Air,168.0,194.0,245.0,279.0,236.0,233.0,208.0,199.0,222.0,240.0,267.0,242.0,247.0,203.7,226.2,238.8,286.7,291.5,330.7,375.4,410.3,397.9,417.6,415.0,383.0,107.5,127.2,264.2
"BOLIVIA, PLURINATIONAL STATE OF",Water,4.0,5.0,5.0,5.0,5.0,6.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BOLIVIA, PLURINATIONAL STATE OF",Land,111.0,114.0,105.0,103.0,101.0,80.0,104.0,133.0,204.0,237.0,256.0,278.0,325.0,325.9,373.1,439.8,424.6,506.4,467.6,495.1,471.3,562.9,691.0,726.9,856.3,215.7,52.7,459.9
BONAIRE,Air,59.0,65.0,63.0,62.0,61.0,51.0,50.0,52.0,62.0,63.0,63.0,64.0,74.0,74.0,67.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BONAIRE,Water,0.0,0.0,20.0,20.0,15.0,44.0,43.0,42.0,45.0,53.0,40.0,62.0,98.0,176.0,213.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSNIA AND HERZEGOVINA,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,290.0,334.0,395.0,432.0,535.0,562.0,570.0,113.0,360.0,658.3
BOSNIA AND HERZEGOVINA,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,3.0,3.0,3.0,5.0,7.0,8.0,7.0,11.0,10.7
BOSNIA AND HERZEGOVINA,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13152.0,12668.0,12394.0,12722.0,14622.0,15593.0,16350.0,14630.0,7267.0,9401.0,13170.8
