Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CHINA,46387.0,51128.0,57588.0,63478.0,72796.0,83444.0,89013.0,97908.0,91662.0,109038.0,120292.0,124942.0,131873.0,130027.0,126476.0,133762.0,135423.0,132405.0,129078.0,128499.0,133820.0,141774.0,153260.0,158606.0,162538.0,27467.0,26380.0,25250.0
COLOMBIA,1433.0,751.0,758.0,823.0,725.0,707.0,788.0,661.0,668.0,840.0,981.0,2096.0,2381.0,2545.0,2649.0,1701.0,2356.0,2434.0,2595.0,2866.0,3371.0,3675.0,4056.0,4398.0,4531.0,1387.0,2146.0,4686.0
COMOROS,23.0,24.0,26.0,27.0,24.0,24.0,19.4,18.9,20.6,23.3,25.9,28.5,15.2,14.8,11.3,15.3,18.8,22.8,21.9,22.8,23.6,26.8,28.0,35.9,45.1,7.0,28.8,0.0
CONGO,37.0,39.0,27.0,20.0,14.0,19.0,27.0,22.0,23.0,31.0,35.0,46.0,55.0,62.0,94.0,199.0,224.0,259.0,345.0,229.0,224.0,213.0,151.0,158.0,0.0,0.0,0.0,0.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",85.0,37.0,30.0,53.0,80.0,103.0,55.0,28.0,35.0,36.0,61.0,55.0,47.0,50.0,53.0,81.0,197.0,167.0,191.0,334.0,354.0,351.0,430.0,392.0,479.0,202.0,382.0,0.0
COOK ISLANDS,48.0,48.0,50.0,49.0,56.0,73.0,75.0,73.0,78.0,83.0,88.0,92.0,97.0,95.0,101.0,104.0,113.0,122.0,121.0,122.0,125.0,146.0,161.0,169.0,172.0,25.2,26.3,113.6
COSTA RICA,924.0,940.0,1013.0,1167.0,1267.0,1278.0,1320.0,1335.0,1514.0,1771.0,1959.0,2071.0,2302.0,2409.0,2309.0,2495.0,2526.0,2542.0,2641.0,2760.0,2899.0,3204.0,3231.0,3313.0,3378.3,1146.5,1375.8,2497.1
COTE D´IVOIRE,188.0,237.0,274.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,205.0,231.0,252.0,270.0,289.0,380.0,471.0,1441.0,1583.0,1800.0,1965.0,2070.0,668.0,576.0,2047.0
CROATIA,16100.0,19085.0,23660.0,25499.0,29215.0,37226.0,40129.0,41737.0,42857.0,44974.0,45762.0,47733.0,52271.0,51336.0,47573.0,49006.0,49969.0,47185.0,48345.0,51168.0,55858.0,57587.0,59238.0,57668.0,60021.0,21608.0,34123.0,50023.0
CUBA,745.0,1004.0,1170.0,1416.0,1603.0,1774.0,1775.0,1686.0,1906.0,2049.0,2319.0,2221.0,2152.0,2348.0,2430.0,2532.0,2716.0,2847.0,2862.0,3014.0,3540.0,4009.0,4654.0,4712.0,4276.0,1086.0,356.4,1614.1
CURAÇAO,396.0,387.0,422.0,437.0,433.0,514.0,519.0,545.0,508.0,452.0,510.0,572.0,664.0,773.0,808.0,762.0,837.0,908.0,1071.0,1129.0,1072.0,944.0,1058.0,1210.0,1293.0,436.0,418.0,1034.2
CYPRUS,2253.0,2089.0,2194.0,2357.0,2578.0,2912.0,2841.0,2495.0,2416.0,2478.0,2657.0,2629.0,2671.0,2631.0,2370.0,2450.0,2626.0,2635.0,2626.0,2558.0,2780.0,3286.0,3750.0,4024.0,4117.0,632.0,1937.0,0.0
CZECH REPUBLIC (CZECHIA),3381.0,4558.0,4976.0,5482.0,5610.0,4773.0,5405.0,4743.0,20108.0,23808.0,24747.0,25102.0,22625.0,21850.0,23285.0,21941.0,22810.0,25750.0,26332.0,27166.0,29604.0,32519.0,34701.0,36268.0,37202.0,10267.0,10014.0,0.0
DENMARK,0.0,2125.0,2158.0,2073.0,2023.0,3535.0,3684.0,3436.0,21119.0,22054.0,26927.0,26936.0,27138.0,26870.0,26571.0,26730.0,25811.0,26402.0,26516.0,28070.0,28209.0,28692.0,30736.0,30801.0,32065.0,16031.0,18372.0,31530.0
DJIBOUTI,21.0,20.0,20.0,21.0,21.0,20.1,21.6,22.5,23.2,26.3,30.2,39.5,40.0,54.0,58.0,51.0,56.0,60.0,63.0,0.0,0.0,0.0,133.0,142.0,167.0,75.0,114.0,145.0
DOMINICA,203.0,261.0,299.0,312.0,280.0,312.0,276.0,208.0,254.0,466.0,381.0,465.0,437.0,468.0,608.0,595.0,418.0,348.0,311.0,370.0,358.0,356.0,230.0,199.0,322.0,140.0,66.0,235.0
DOMINICAN REPUBLIC,1806.0,2037.0,2482.0,2702.0,2932.0,3161.0,3090.0,3058.0,3680.0,3907.0,3981.0,4268.0,4365.0,4455.0,4489.0,4478.0,4654.0,4901.0,5114.0,5576.0,6129.0,6769.0,7296.0,7551.0,7550.0,2748.0,5327.0,8488.8
ECUADOR,440.0,494.0,529.0,511.0,518.0,627.0,641.0,683.0,761.0,819.0,860.0,841.0,937.0,1005.0,968.0,1047.0,1141.0,1272.0,1364.0,1695.0,1676.0,1569.0,1806.0,2535.0,2108.0,507.0,669.0,1265.0
EGYPT,3133.0,3896.0,3961.0,3454.0,4797.0,5506.0,4648.0,5192.0,6044.0,8104.0,8608.0,9083.0,11091.0,12835.0,12536.0,14731.0,9845.0,11532.0,9464.0,9878.0,9328.0,5399.0,8292.0,11346.0,13026.0,3677.0,7998.0,11724.0
EL SALVADOR,235.0,283.0,387.0,542.0,658.0,867.0,804.0,885.0,798.0,1030.0,1306.0,1501.0,1720.0,1875.0,1482.0,1606.0,1634.0,1738.0,1822.0,1886.0,1973.0,2052.0,2247.0,2536.0,2639.0,707.0,1436.0,2541.0
ERITREA,315.0,417.0,410.0,188.0,57.0,70.0,113.0,101.0,80.0,87.0,83.0,78.0,81.0,70.0,79.0,84.0,107.0,129.0,141.0,119.0,114.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTONIA,2111.0,2444.0,2618.0,2909.0,3181.0,3310.0,3230.0,3253.0,3378.0,1750.0,1917.0,1940.0,1900.0,3828.0,3834.0,4369.0,4907.0,5007.0,5737.0,5804.0,5696.0,5942.0,6145.0,6033.0,6103.0,1695.0,1310.0,3497.0
ESWATINI,300.0,1337.0,1635.0,986.0,1253.0,1151.0,1312.0,1371.0,1543.0,459.0,1182.0,1200.0,1230.0,1186.0,1344.0,1343.0,1328.0,1278.0,1299.0,1325.0,1256.0,1279.0,1343.0,1277.0,1226.0,345.3,210.7,502.5
ETHIOPIA,103.0,109.0,139.0,112.0,115.0,136.0,148.0,156.0,180.0,184.0,227.0,330.0,358.0,383.0,427.0,468.0,523.0,597.0,681.0,770.0,864.0,871.0,933.0,849.0,812.0,271.0,518.0,897.0
FIJI,476.0,534.0,547.0,499.0,544.0,434.0,446.0,461.0,451.0,513.0,547.0,549.0,542.0,627.0,605.0,692.0,734.0,741.0,769.0,781.0,869.0,963.0,1027.0,1058.0,969.0,168.0,32.0,652.0
FINLAND,1779.0,1724.0,1832.0,3432.0,3363.0,3789.0,4252.0,4687.0,4527.0,4854.0,5038.0,5345.0,5736.0,6072.0,5695.0,6182.0,7260.0,7636.0,2797.0,2731.0,2622.0,2789.0,3180.0,3224.0,3290.0,896.0,807.0,2127.0
FRANCE,60033.0,148263.0,157551.0,70109.0,73147.0,77190.0,75202.0,77012.0,75048.0,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197522.0,204410.0,206599.0,203302.0,203042.0,207274.0,211998.0,217877.0,117109.0,141297.0,0.0
FRENCH GUIANA,0.0,0.0,0.0,68.0,70.0,0.0,65.0,65.0,0.0,0.0,95.0,0.0,109.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,87.0,96.0,111.0,0.0,0.0,0.0,0.0,0.0
FRENCH POLYNESIA,186.0,184.0,201.0,211.0,236.0,252.0,228.0,189.0,213.0,212.0,208.0,222.0,243.0,227.0,190.0,179.0,196.0,210.0,214.0,228.0,239.0,241.0,254.0,260.0,282.0,89.0,95.0,261.4
GABON,203.0,217.0,247.0,274.0,262.0,230.0,236.0,269.0,234.0,351.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMBIA,45.0,77.0,85.0,91.0,96.0,79.0,57.0,81.0,89.0,459.0,460.0,613.0,487.0,643.0,142.0,91.0,106.0,157.0,171.0,156.0,449.0,450.0,522.0,552.0,620.0,246.0,332.0,570.0
GEORGIA,85.0,117.0,313.0,317.0,384.0,387.0,302.0,298.0,313.0,368.0,560.0,983.0,1052.0,1290.0,1500.0,2032.0,2712.0,4106.0,4954.0,5004.0,5256.0,5393.0,6483.0,7203.0,7726.0,1513.0,1721.0,4704.0
GERMANY,14847.0,15205.0,15837.0,16511.0,17116.0,18983.0,17861.0,17969.0,18399.0,20137.0,21500.0,23569.0,24421.0,24884.0,24220.0,26875.0,28374.0,30411.0,31545.0,32999.0,34970.0,35555.0,37452.0,38881.0,39563.0,12449.0,11688.0,28463.0
GHANA,286.0,305.0,325.0,348.0,373.0,399.0,439.0,483.0,531.0,584.0,429.0,497.0,587.0,698.0,803.0,931.0,821.0,903.0,994.0,825.0,897.0,933.0,969.0,956.0,1130.0,355.0,624.0,915.0
GREECE,10712.0,9782.0,10588.0,11364.0,12606.0,13567.0,14678.0,14918.0,14785.0,14268.0,15938.0,17284.0,16165.0,15939.0,14915.0,15007.0,16427.0,15518.0,20112.0,24272.0,26114.0,28071.0,30161.0,33072.0,34005.0,7406.0,15246.0,29876.0
GRENADA,369.0,386.0,368.0,392.0,379.0,316.0,277.0,271.0,294.0,370.0,380.0,342.0,406.0,428.0,460.0,445.0,447.0,370.0,327.0,387.0,437.0,474.0,468.0,529.0,526.0,217.0,72.0,335.0
GUADELOUPE,1059.0,1236.0,1130.0,914.0,854.0,994.0,759.0,0.0,569.0,560.0,445.0,447.0,500.0,527.0,458.0,497.0,419.0,487.0,645.0,720.0,822.0,857.0,970.0,1166.0,0.0,0.0,0.0,0.0
GUAM,1362.0,1373.0,1382.0,1137.0,1162.0,1287.0,1159.0,1059.0,910.0,1160.0,1228.0,1212.0,1225.0,1142.0,1053.0,1197.0,1160.0,1308.0,1334.0,1343.0,1409.0,1536.0,1545.0,1549.0,1667.0,328.0,79.0,328.0
GUATEMALA,563.0,520.0,576.0,636.0,823.0,826.0,835.0,884.0,880.0,1182.0,1316.0,1502.0,1628.0,1715.0,1311.0,1384.0,1434.0,1491.0,1516.0,1739.0,1865.0,1906.0,2113.0,2406.0,2560.0,594.0,666.0,1844.7
GUINEA,0.0,12.0,17.0,23.0,27.0,33.0,38.0,43.0,44.0,45.0,45.0,46.6,30.0,24.0,0.0,12.4,131.0,96.0,56.0,33.0,35.0,63.0,99.0,0.0,0.0,0.0,0.0,0.0
GUINEA-BISSAU,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,5.0,11.6,15.6,18.0,16.0,22.3,36.7,35.4,35.5,36.1,43.8,45.2,49.5,55.0,52.4,0.0,0.0,0.0
GUYANA,106.0,92.0,76.0,66.0,75.0,105.0,99.0,104.0,101.0,122.0,117.0,113.0,134.0,130.0,141.0,152.0,157.0,177.0,200.0,206.0,207.0,235.0,247.0,287.0,315.0,86.5,158.3,288.0
HAITI,370.0,400.0,387.0,393.0,386.0,445.0,499.0,482.0,518.0,385.0,480.0,558.0,868.0,758.0,826.0,793.0,946.0,959.0,1064.0,1127.6,1190.0,1153.0,1262.0,1333.0,938.0,322.0,148.0,0.0
HONDURAS,271.0,271.0,310.0,324.0,428.0,689.0,672.0,788.0,887.0,1026.0,1118.0,1136.0,1309.0,1561.0,1589.0,1965.0,1852.0,1903.0,1857.0,2082.0,2093.0,2228.0,2144.0,2323.0,2315.0,669.0,826.0,1911.0
"HONG KONG, CHINA",10200.0,12974.0,11273.0,10160.0,11328.0,13059.0,13725.0,16566.0,15537.0,21811.0,23359.0,25251.0,28169.0,29507.0,29591.0,36030.0,41921.0,48615.0,54299.0,60839.0,59308.0,56655.0,58472.0,65148.0,55913.0,3569.0,91.4,604.6
HUNGARY,39240.0,39833.0,37315.0,33624.0,28803.0,31141.0,30679.0,31739.0,31412.0,33934.0,36173.0,38318.0,39379.0,39554.0,40624.0,39904.0,41304.0,43565.0,43611.0,45984.0,48345.0,52890.0,54962.0,57667.0,61397.0,31641.0,36688.0,46343.0
ICELAND,211.0,223.0,223.0,255.0,281.0,328.0,329.0,315.0,348.0,405.0,429.0,477.0,539.0,561.0,563.0,559.0,628.0,765.0,900.0,1102.0,1389.0,1891.0,2353.0,2488.0,2202.0,488.0,717.0,0.0
INDIA,2143.0,2308.0,2395.0,2382.0,2508.0,2677.0,2591.0,2428.0,2774.0,3512.0,4038.0,4626.0,5244.0,5373.0,5295.0,5881.0,6309.0,6578.0,6968.0,13107.0,13284.0,14570.0,15543.0,17423.0,17914.0,6337.0,7010.0,14330.0
INDONESIA,4324.0,5034.0,5185.0,4606.0,4728.0,5064.0,5153.0,5033.0,4467.0,5321.0,5002.0,4871.0,5506.0,6234.0,6324.0,7003.0,7650.0,8044.0,8802.0,9435.0,10407.0,11519.0,14040.0,15810.0,16107.0,4053.0,1558.0,5889.0
"IRAN, ISLAMIC REPUBLIC OF",452.0,573.0,764.0,1008.0,1321.0,1342.0,1402.0,1585.0,1546.0,1659.0,1889.0,2735.0,2219.0,2034.0,2116.0,2938.0,3354.0,3834.0,4769.0,4968.0,5237.0,4942.0,4867.0,7295.0,9107.0,1550.0,989.0,4108.0
IRAQ,61.0,51.0,15.0,45.0,30.0,78.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,1262.0,1518.0,1510.0,1111.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRELAND,4818.0,5289.0,5587.0,6064.0,6403.0,6646.0,6353.0,6476.0,6764.0,6953.0,7333.0,8001.0,8332.0,8026.0,7189.0,7134.0,7630.0,7550.0,8260.0,8813.0,9528.0,10100.0,10338.0,10926.0,10951.0,0.0,0.0,0.0
ISRAEL,2530.0,2360.0,2295.0,2200.0,2566.0,2672.0,1219.0,862.1,1063.0,1505.8,1916.0,1834.0,2294.0,3034.0,2740.0,3444.0,3362.0,3520.0,3540.0,3251.0,3109.0,3070.0,3863.0,4389.0,4905.0,887.0,402.0,2851.0
ITALY,55706.0,59805.0,57998.0,58499.0,59521.0,62702.0,60960.0,63561.0,63026.0,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84925.0,89931.0,93228.6,95399.0,38419.0,40186.0,74317.0
JAMAICA,1752.0,1821.0,1904.0,1899.0,2013.0,2230.0,2117.0,2131.0,2483.0,2515.0,2615.0,3016.0,2880.0,2859.0,2753.0,2832.0,3077.0,3306.0,3274.0,3504.0,3692.0,3837.0,4276.0,4319.0,4234.0,1329.7,1535.0,3330.7
JAPAN,3345.0,3837.0,4218.0,4106.0,4438.0,4757.0,4772.0,5239.0,5212.0,6138.0,6728.0,7334.0,8347.0,8351.0,6790.0,8611.0,6219.0,8358.0,10364.0,13413.0,19737.0,24039.0,28691.0,31192.0,31882.0,4115.8,246.0,3832.0
JORDAN,3277.0,3164.0,3068.0,3438.0,3231.0,2700.0,3034.0,4677.0,4600.0,5587.0,5817.0,6573.0,6529.0,7100.0,7085.0,8078.0,6813.0,6314.0,5389.0,5327.0,4809.0,4236.0,4565.0,4922.0,5361.0,1240.0,2359.0,5049.1
KAZAKHSTAN,0.0,202.0,284.0,257.0,394.0,1683.0,2693.0,3678.0,3237.0,4291.0,4365.0,4707.0,5311.0,4117.0,3774.0,4097.0,5685.0,6163.0,6841.0,6333.0,6430.0,6509.0,7701.0,8789.0,8515.0,2035.0,1330.0,4729.0
KENYA,974.0,1003.0,1001.0,894.0,969.0,1037.0,994.0,1001.0,1146.0,1361.0,1479.0,1601.0,1817.0,1203.0,1490.0,1609.0,1823.0,1711.0,1520.0,1350.0,1181.0,1340.0,1449.0,2025.0,2049.0,568.0,870.0,1484.0
KIRIBATI,3.9,4.2,5.1,5.7,20.3,13.4,14.5,119.5,130.1,63.9,50.2,10.8,32.3,3.9,3.9,4.7,5.3,4.9,5.9,8.3,8.2,7.6,7.5,9.0,12.0,1.4,0.07,1.8
