country,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUSTRALIA,Thousands,1/,VF,3726,4165,4318,4167,4459,4931,4856,4841,4746,5215,5499,5532,5644,5586,5490,5790,5771,6032,6482,6922,7449,8269,8815,9246,9466,1828,246,3694
AUSTRIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AZERBAIJAN,Thousands,,VF,93,210,306,483,602,681,767,834,1038,1279,1177,1194,1333,1899,1830,1963,2239,2484,2509,2298,2006,2249,2697,2850,3170,796,792,1602
BAHAMAS,Thousands,,VF,3239,3416,3446,3348,3648,4204,4183,4406,4594,5004,4779,4731,4601,4394,4645,5255,5588,5940,6151,6320,6112,6265,6136,6622,7250,1794.5,2101,7000.7
BAHRAIN,Thousands,,VF,2311,1988,2600,2898,3280,3869,4388,4831,4844,5667,6313,7289,7833,8631,8861,11952,6732,8062,9163,10452,9670,10158,11374,12045,11061,1909,3612,9949
BANGLADESH,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BARBADOS,Thousands,,VF,927,957,990,1019,947,1078,1035,1021,1090,1273,1111,1102,1191,1165,1154,1197,1187,1053,1079,1079,1179,1227,1345,1356,966,545.8,242,897.6
BELARUS,Thousands,1/,VF,..,..,..,..,..,2030,1852,1907,1729,1816,4738,5276,5283,5262,4872,5674,5877,6130,6242,5375,4386,10935,11060,11502,11832,3598,3361,4920
BELGIUM,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BELIZE,Thousands,,VF,342,349,305,300,340,374,385,694,999,1329,1037,903,880,846,941,1054,1106,1028,1022,1289,1299,1391,1441,1697,1674,487,437,..
BENIN,Thousands,,VF,580,516,541,575,941,1068,1155,853,850,845,960,975,1010,1027,..,..,222,232,252,265,279,292,307,322,337,354,..,..
BERMUDA,Thousands,,VF,557,570,562,558,549,539,458,484,483,478,517,635,660,550,554,580,652,610,576,580,597,642,688,766,805,51.4,86.4,548.5
BHUTAN,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"BOLIVIA, PLURINATIONAL STATE OF",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BONAIRE,Thousands,,VF,70,80,86,85,78,96,94,94,107,116,103,126,172,250,280,297,..,..,..,..,..,..,..,..,..,..,..,..
BOSNIA AND HERZEGOVINA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BOTSWANA,Thousands,,VF,636,656,765,940,1039,1306,1451,1485,1592,1727,1684,1642,1965,2344,..,..,..,..,..,..,1660,1712,1775,1830,1555.4,358.2,338,..
BRAZIL,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BRITISH VIRGIN ISLANDS,Thousands,,VF,365,412,365,392,484,519,535,544,614,813,821,825,948,934,857,842,831,753,742,773,922,1124,..,..,895,..,..,..
BRUNEI DARUSSALAM,Thousands,,VF,498,837,643,964,967,984,840,891,944,..,815,836,877,..,..,..,..,..,..,..,..,4257,4316,4521,4449,1071,110,..
BULGARIA,Thousands,,VF,8005,6811,7543,5240,5056,4922,5104,5563,6241,6982,7282,7499,7726,8533,7873,8374,8713,8867,9192,9409,9317,10604,11596,12368,12552,4973,7188,10888
BURKINA FASO,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BURUNDI,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CABO VERDE,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CAMBODIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CAMEROON,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,451,477,487,498,573,604,817,783,822,897,994,1081,997,1021,616,963,539
CANADA,Thousands,1/,VF,41657,43256,45076,48064,49055,48638,47147,44896,38903,38845,36160,33390,30373,27370,24696,25621,25066,25318,25167,25558,27555,30142,31081,31274,32430,5068,4282.1,17924
CAYMAN ISLANDS,Thousands,,VF,1044,1173,1248,1275,1431,1385,1549,1878,2113,1953,1967,2197,2008,1856,1792,1886,1710,1829,1721,1993,2102,2097,2147,2384,2334,660,..,1027.7
CENTRAL AFRICAN REPUBLIC,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CHAD,Thousands,,VF,58,67,77,89,93,94,175,149,101,106,59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CHILE,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,3713,3657,3584,3963,4397,4457,4601,5487,6712,7621,6603,5431,1310.5,192,2269
CHINA,Thousands,1/,VF,46387,51128,57588,63478,72796,83444,89013,97908,91662,109038,120292,124942,131873,130027,126476,133762,135423,132405,129078,128499,133820,141774,153260,158606,162538,27467,26380,25250
COLOMBIA,Thousands,1/,VF,1433,751,758,823,725,707,788,661,668,840,981,2096,2381,2545,2649,1701,2356,2434,2595,2866,3371,3675,4056,4398,4531,1387,2146,4686
COMOROS,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CONGO,Thousands,1/,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,199,224,259,345,229,224,213,151,158,..,..,..,..
"CONGO, DEMOCRATIC REPUBLIC OF THE",Thousands,,VF,85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,197,..,..,..,..,..,..,..,..,..,..,..
COOK ISLANDS,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COSTA RICA,Thousands,,VF,924,940,1013,1167,1267,1278,1320,1335,1514,1771,1959,2071,2302,2409,2309,2495,2526,2542,2641,2760,2899,3204,3231,3313,3378.3,1146.5,1375.8,2497.1
COTE D´IVOIRE,Thousands,1/,VF,188,237,274,301,..,..,..,..,..,..,..,..,182,205,231,252,270,289,380,471,1441,1583,1800,1965,2070,668,576,2047
CROATIA,Thousands,,VF,16100,19085,23660,25499,29215,37226,40129,41737,42857,44974,45762,47733,52271,51336,47573,49006,49969,47185,48345,51168,55858,57587,59238,57668,60021,21608,34123,50023
CUBA,Thousands,,VF,745,1004,1170,1416,1603,1774,1775,1686,1906,2049,2319,2221,2152,2348,2430,2532,2716,2847,2862,3014,3540,4009,4654,4712,4276,1086,356.4,1614.1
CURAÇAO,Thousands,,VF,396,387,422,437,433,514,519,545,508,452,510,572,664,773,808,762,837,908,1071,1129,1072,944,1058,1210,1293,436,418,1034.2
CYPRUS,Thousands,,VF,2253,2089,2194,2357,2578,2912,2841,2495,2416,2478,2657,2629,2671,2631,2370,2450,2626,2635,2626,2558,2780,3286,3750,4024,4117,..,..,..
CZECH REPUBLIC (CZECHIA),Thousands,,VF,..,..,..,..,..,..,..,..,20108,23808,24747,25102,22625,21850,23285,21941,22810,25750,26332,27166,29604,32519,34701,36268,37202,10267,10014,..
DENMARK,Thousands,1/,VF,..,..,..,..,..,..,..,..,21119,22054,26927,26936,27138,26870,26571,26730,25811,26402,26516,28070,28209,28692,30736,30801,32065,16031,18372,31530
DJIBOUTI,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DOMINICA,Thousands,,VF,203,261,299,312,280,312,276,208,254,466,381,465,437,468,608,595,418,348,311,370,358,356,230,199,322,140,66,235
DOMINICAN REPUBLIC,Thousands,1/,VF,1806,2037,2482,2702,2932,3161,3090,3058,3680,3907,3981,4268,4365,4455,4489,4478,4654,4901,5114,5576,6129,6769,7296,7551,7550,2748,5327,8488.8
ECUADOR,Thousands,1/,VF,440,494,529,511,518,627,641,683,761,819,860,841,937,1005,968,1047,1141,1272,1364,1695,1676,1569,1806,2535,2108,507,669,1265
EGYPT,Thousands,,VF,3133,3896,3961,3454,4797,5506,4648,5192,6044,8104,8608,9083,11091,12835,12536,14731,9845,11532,9464,9878,9328,5399,8292,11346,13026,3677,7998,11724
EL SALVADOR,Thousands,,VF,..,..,..,..,..,867,804,885,798,1030,1306,1501,1720,1875,1482,1606,1634,1738,1822,1886,1973,2052,2247,2536,2639,707,1436,2541
EQUATORIAL GUINEA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ERITREA,Thousands,1/,VF,315,417,410,188,57,70,113,101,80,87,83,78,81,70,79,84,107,129,141,119,114,142,..,..,..,..,..,..
ESTONIA,Thousands,1/,VF,2111,2444,2618,2909,3181,3310,3230,3253,3378,..,..,..,..,3828,3834,4369,4907,5007,5737,5804,5696,5942,6145,6033,6103,1695,1310,3497
ESWATINI,Thousands,,VF,..,1337,1635,986,1253,1151,1312,1371,1543,..,1182,1200,1230,1186,1344,1343,1328,1278,1299,1325,1256,1279,1343,1277,1226,345.3,210.7,502.5
ETHIOPIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
FIJI,Thousands,,VF,476,534,547,499,544,434,446,461,451,513,547,..,542,627,605,692,734,741,769,781,869,963,1027,1058,969,168,32,652
FINLAND,Thousands,1/,VF,..,..,..,3432,3363,3789,4252,4687,4527,4854,5038,5345,5736,6072,5695,6182,7260,7636,..,..,..,..,..,..,..,..,..,..
FRANCE,Thousands,,VF,..,148263,157551,..,..,..,..,..,..,190282,185829,193882,193319,193571,192369,189826,196595,197522,204410,206599,203302,203042,207274,211998,217877,117109,141297,..
FRENCH GUIANA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
FRENCH POLYNESIA,Thousands,,VF,186,184,201,211,236,..,..,..,..,..,..,..,243,227,190,179,196,210,214,228,239,241,254,260,282,89,95,261.4
GABON,Thousands,,VF,203,217,247,274,262,230,236,269,234,351,526,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GAMBIA,Thousands,,VF,..,..,..,..,..,..,..,..,..,459,460,613,487,643,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GEORGIA,Thousands,,VF,85,117,313,317,384,387,302,298,313,368,560,983,1052,1290,1500,2032,2712,4106,4954,5004,5256,5393,6483,7203,7726,1513,1721,4704
GERMANY,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GHANA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GREECE,Thousands,,VF,10712,9782,10588,11364,12606,13567,14678,14918,14785,14268,15938,17284,..,..,..,..,..,..,20112,24272,26114,28071,30161,33072,34005,7406,15246,29876
GRENADA,Thousands,,VF,369,386,368,392,379,316,277,271,294,370,380,342,406,428,460,445,447,370,327,387,437,474,468,529,526,217,72,335
GUADELOUPE,Thousands,,VF,1059,1236,1130,914,854,994,759,..,569,560,445,447,500,527,458,497,419,487,645,720,822,857,970,1166,..,..,..,..
GUAM,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GUATEMALA,Thousands,,VF,563,520,576,636,823,826,835,884,880,1182,1316,1502,1628,1715,1311,1384,1434,1491,1516,1739,1865,1906,2113,2406,2560,594,666,1844.7
GUINEA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,46.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GUINEA-BISSAU,Thousands,1/,TF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GUYANA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HAITI,Thousands,,VF,370,400,387,393,386,445,499,482,518,385,480,558,868,758,826,793,946,959,1064,1127.6,1190,1153,1262,1333,938,322,148,..
HONDURAS,Thousands,,VF,..,271,310,324,428,689,672,788,887,1026,1118,1136,1309,1561,1589,1965,1852,1903,1857,2082,2093,2228,2144,2323,2315,669,826,1911
"HONG KONG, CHINA",Thousands,,VF,10200,12974,11273,10160,11328,13059,13725,16566,15537,21811,23359,25251,28169,29507,29591,36030,41921,48615,54299,60839,59308,56655,58472,65148,55913,3569,91.4,604.6
HUNGARY,Thousands,,VF,39240,39833,37315,33624,28803,31141,30679,31739,31412,33934,36173,38318,39379,39554,40624,39904,41304,43565,43611,45984,48345,52890,54962,57667,61397,31641,36688,46343
ICELAND,Thousands,,VF,211,223,223,255,281,328,329,315,348,405,429,477,539,561,563,559,628,765,900,1102,1389,1891,2353,2488,2202,488,717,..
INDIA,Thousands,,VF,2143,2308,2395,2382,2508,2677,2591,2428,2774,3512,4038,4626,5244,5373,5295,5881,..,..,..,..,..,..,15543,17423,17914,6337,7010,14330
INDONESIA,Thousands,,VF,4324,5034,5185,4606,4728,5064,5153,5033,4467,5321,5002,4871,5506,6234,6324,7003,7650,8044,8802,9435,10407,11519,14040,15810,16107,4053,1558,5889
"IRAN, ISLAMIC REPUBLIC OF",Thousands,,VF,452,573,764,1008,1321,1342,1402,1585,1546,1659,1889,2735,2219,2034,2116,2938,3354,3834,4769,4968,5237,4942,4867,7295,9107,1550,989,4108
IRAQ,Thousands,,VF,61,51,15,45,30,78,127,..,..,..,..,..,..,864,1262,1518,1510,1111,892,..,..,..,..,..,..,..,..,..
IRELAND,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ISRAEL,Thousands,,VF,2530,2360,2295,2200,2566,2672,1219,862.1,..,1505.8,1916,1834,2294,3034,2740,3444,3362,3520,3540,3251,3109,3070,3863,4389,4905,887,402,2851
ITALY,Thousands,,VF,55706,59805,57998,58499,59521,62702,60960,63561,63026,58480,59230,66353,70271,70719,71692,73225,75866,76293,76762,77694,81068,84925,89931,93228.6,95399,38419,40186,74317
JAMAICA,Thousands,,VF,1752,1821,1904,1899,2013,2230,2117,2131,2483,2515,2615,3016,2880,2859,2753,2832,3077,3306,3274,3504,3692,3837,4276,4319,4234,1329.7,1535,3330.7
JAPAN,Thousands,1/,VF,3345,3837,4218,4106,4438,4757,4772,5239,5212,6138,6728,7334,8347,8351,6790,8611,6219,8358,10364,13413,19737,24039,28691,31192,31882,4115.8,246,3832
JORDAN,Thousands,,VF,3277,3164,3068,3438,3231,2700,3034,4677,4600,5587,5817,6573,6529,7100,7085,8078,6813,6314,5389,5327,4809,4236,4565,4922,5361,1240,2359,5049.1
KAZAKHSTAN,Thousands,,VF,..,202,284,257,394,1683,2693,3678,3237,4291,4365,4707,5311,4117,3774,4097,5685,6163,6841,6333,6430,6509,7701,8789,8515,2035,1330,4729
KENYA,Thousands,,VF,974,1003,1001,894,969,1037,994,1001,1146,1361,1479,1601,1817,1203,1490,1609,1823,1711,1520,1350,1181,1340,1449,2025,2049,568,870,1484
KIRIBATI,Thousands,,VF,..,..,..,..,20.3,13.4,14.5,119.5,130.1,63.9,50.2,10.8,32.3,..,..,..,..,..,..,8.3,8.2,7.6,7.5,9,12,..,..,..
"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"KOREA, REPUBLIC OF",Thousands,1/,VF,3753,3684,3908,4250,4660,5322,5147,5347,4753,5818,6023,6155,6448,6891,7818,8798,9795,11140,12176,14202,13232,17242,13336,15347,17503,2519,967,3198
KUWAIT,Thousands,,VF,1443,1565,1638,1763,1884,1944,2072,2316,2602,3056,3474,3899,4482,4736,5088,5208,5574,5729,6217,6528,6941,7055,7407,8508,8565,2161,1606,..
KYRGYZSTAN,Thousands,,VF,..,..,..,290,165,173,199,183,342,398,319,766,1656,2379,2451,1224,3025,3393,4134,3791,4000,3853,4568,6947,8508,2079,3169,6901
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Thousands,,VF,346,403,463,500,614,737,674,736,636,895,1095,1215,1624,1737,2008,2513,2724,3330,3779,4159,4684,4239,3869,4186,4791,886.4,..,..
LATVIA,Thousands,1/,VF,1633,1750,1842,1788,1738,1882,2061,2297,2524,3127,3791,4649,5209,5496,4727,5042,5538,5569,5822,6246,6842,6797,7726,7775,8342,3204,1937,..
LEBANON,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LESOTHO,Thousands,1/,VF,209,312,313,290,308,302,295,287,329,304,304,357,300,293,344,426,398,423,433,1079,1082,1196,1137,1173,1142,..,279,..
LIBERIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LIBYA,Thousands,,VF,1832,1276,913,850,965,963,953,858,958,..,..,125,106,760,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LIECHTENSTEIN,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LITHUANIA,Thousands,,VF,2600,3497,3702,4287,4454,4092,4195,3999,3635,..,..,..,4251,4459,4001,4073,4504,4979,5264,5217,5048,5322,5590,6115,6150,2284,2096,4725
LUXEMBOURG,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"MACAO, CHINA",Thousands,,VF,7752,8151,7000,6949,7444,9162,10279,11531,11888,16673,18711,21998,27003,22933,21753,24965,28002,28082,29325,31526,30715,30950,32611,35804,39406,5897,7706,5700.3
MADAGASCAR,Thousands,,VF,115,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282,333,285,360,486,87.1,7.8,..
MALAWI,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALAYSIA,Thousands,,VF,14885,14084,12591,10886,13910,17213,22995,20756,16293,24432,24209,25298,28325,25321,31509,..,..,..,..,..,..,..,..,..,35046,6102,399,19016
MALDIVES,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALI,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALTA,Thousands,1/,VF,1193,1123,1238,1326,1402,1387,1439,1483,1512,1428,1484,1521,1723,1832,1608,1815,1916,2007,2013,2162,2383,2592,2944,3232,3519,718,1110,2776.2
MARSHALL ISLANDS,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5,7.9,..,..,2,..,..
MARTINIQUE,Thousands,,VF,885,885,900,964,903,816,663,654,722,630,577,599,573,568,511,553,538,603,622,696,762,842,1003,1002,919,523.6,312,661
MAURITANIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MAURITIUS,Thousands,,VF,437,509,558,579,600,678,675,709,721,739,782,807,933,970,890,956,983,984,1015,1065,1174,1307,1371,1431,1418,315.6,180.3,1003.1
MEXICO,Thousands,,VF,85446,90394,92915,95214,99869,105673,100718,100153,92330,99250,103146,97701,93582,92948,88044,81953,75732,76749,78100,81042,87129,94853,99349,96497,97406,51128,55301,65995
"MICRONESIA, FEDERATED STATES OF",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"MOLDOVA, REPUBLIC OF",Thousands,1/,VF,32.8,28.9,21.2,19.9,14.1,19,15.7,20.2,23.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MONACO,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MONGOLIA,Thousands,,VF,108,71,82,197,160,158,192,235,205,305,345,408,455,469,465,557,627,624,515,506,467,471,543,598,637,66.9,39.2,301
MONTENEGRO,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MONTSERRAT,Thousands,,VF,19.3,9,6.1,9.4,13,14.3,15.6,15,13.6,15.2,13.1,9.5,8.7,8.4,7.3,7.7,7.4,9.905,8.7,10.7,13.3,13.5,18.6,16.7,19.3,7.7,1.6,..
MOROCCO,Thousands,,VF,2752,2856,3203,3267,4088,4458,4596,4709,5021,5732,6077,6777,7701,8209,8661,9752,9784,9830,10349,10507,10542,10677,11540,12489,13109,2802,3722,10968
MOZAMBIQUE,Thousands,,VF,..,..,..,..,..,..,404,943,726,711,954,1095,1259,1439,1711,1836,2013,2206,1970,1751,1634,1715,1514,2870,2033,959,549,879
MYANMAR,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NAMIBIA,Thousands,,VF,421,560,610,681,694,759,700,799,739,986,856,961,1048,1079,1100,1114,1163,1245,1327,1429,1488,1551,1581,1639,1651,187.1,261.3,528
NAURU,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NEPAL,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NETHERLANDS,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NEW CALEDONIA,Thousands,,VF,122,138,139,127,151,161,152,158,166,177,182,219,227,256,230,282,348,390,494,529,558,625,626,576,474,79,..,139
NEW ZEALAND,Thousands,1/,VF,1409,1529,1497,1485,1607,1787,1909,2045,2104,2334,2366,2409,2455,2483,2473,2530,2617,2574,2710,2854,3129,3494,3723,3858,3888,996,207,1434
NICARAGUA,Thousands,,VF,341,388,453,483,530,581,584,579,646,735,804,891,978,1011,1010,1071,1122,1233,1273,1390,1456,1596,1958,1412,1455,474,312.4,932.7
NIGER,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NIGERIA,Thousands,,VF,1031,1230,1292,1357,1425,1492,1753,2046,2253,2646,2778,3056,5239,5820,6053,6113,3765,4673,4038,4803,6017,5265,5182,5254,5361,1209,1246,1271
NIUE,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.600000000000001,..,..,..,..,..
NORTH MACEDONIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NORTHERN MARIANA ISLANDS,Thousands,,VF,676,736,695,490,502,529,444,476,459,536,507,436,389,397,354,379,341,401,439,460,479,531,660,518,487,89,12.7,96.6
NORWAY,Thousands,,VF,..,..,..,5045,5123,5121,5115,4543,4686,5130,5418,5738,6017,6054,6114,6578,6693,..,..,..,..,..,..,..,..,..,..,..
OMAN,Thousands,,VF,..,..,..,..,..,..,1095,1112,1210,1407,1101,1385,1360,1540,1584,1500,1393,1714,1923,2225,2634,3207,3178,3242,3506,869,652,2920
PAKISTAN,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PALAU,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PANAMA,Thousands,1/,VF,417,443,504,529,555,600,737,800,897,1004,1070,1215,1428,1575,1562,1726,2004,2086,2202,2305,2553,2379,2517,2487,2494,647,804,1946
PAPUA NEW GUINEA,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,120,126,146,165,175,182,191,199,198,182,195,211,39,17,69.4
PARAGUAY,Thousands,1/,VF,15678,12868,10955,9818,6569,3924,3550,3194,2859,2589,2648,2830,3005,3118,3183,3171,3365,3655,3538,3455,4102,4318,4744,4183,4368,1077,571,1548
PERU,Thousands,,VF,..,..,..,..,..,..,..,1304,1380,1650,1938,2227,2451,2581,2681,2948,3299,3642,4010,4062,4381,4718,4992,5384,5275,1119,444,2278.5
PHILIPPINES,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
POLAND,Thousands,1/,VF,82244,87439,87817,88592,89118,84515,61431,50735,52130,61918,64606,65115,66208,59935,53840,58340,60745,67390,72310,73750,77743,80476,83804,85946,88515,51076,51026,71814
PORTUGAL,Thousands,1/,VF,23066,23252,24244,26560,27016,28014,28150,27194,27532,21165,21173,22588,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PUERTO RICO,Thousands,,VF,4087,4110,4350,4671,4221,4566,4908,4364,4402,4889,5073,5022,5062,5213,4415,4379,4214,4197,4210,4456,5051,5003,4927,4260,4931,3882,2754.7,3637.5
